year,month,close
2017,05,56.777
2017,06,58.29425
2017,07,59.6514
2017,08,58.7115
2017,09,57.48475
2017,10,58.022000000000006
2017,11,58.877250000000004
2017,12,58.170399999999994
2018,01,56.51275
2018,02,56.926
2018,03,57.14925
2018,04,61.237
2018,05,62.17475
2018,06,62.803
2018,07,62.997
2018,08,67.333
2018,09,67.32860000000001
2018,10,65.8195
2018,11,66.80475
2018,12,67.86359999999999
2019,01,66.1345
2019,02,65.76225
2019,03,65.366
2019,04,64.54025
2019,05,64.94800000000001
2019,06,63.8486
2019,07,63.64575
2019,08,66.13025
2019,09,64.6918
2019,10,63.804500000000004
2019,11,63.938
2019,12,62.60119999999999
2020,01,62.189750000000004
2020,02,64.60525
2020,03,75.2426
2020,04,74.4235
2020,05,71.6532
2020,06,70.0945
2020,07,72.217
2020,08,74.1542
2020,09,76.72375
2020,10,77.58525
2020,11,76.21000000000001
2020,12,73.687
2021,01,74.6902
2021,02,74.19550000000001
2021,03,74.93525
2021,04,75.82025
2021,05,73.4626
2021,06,72.60675
2021,07,73.8095
2021,08,73.4408
2021,09,72.876
2021,10,71.08579999999999
2021,11,72.364
