,close,year,month
0,9594.00,2021,11
1,9475.50,2021,10
2,9525.00,2021,10
3,9715.00,2021,10
4,10264.00,2021,10
5,9355.50,2021,10
6,9127.50,2021,09
7,9363.00,2021,09
8,9324.50,2021,09
9,9671.00,2021,09
10,9433.50,2021,08
11,9414.50,2021,08
12,9058.00,2021,08
13,9560.50,2021,08
14,9480.50,2021,08
15,9723.50,2021,07
16,9530.00,2021,07
17,9431.00,2021,07
18,9503.50,2021,07
19,9376.00,2021,06
20,9414.50,2021,06
21,9142.00,2021,06
22,9991.50,2021,06
23,9972.50,2021,05
24,10283.00,2021,05
25,9865.50,2021,05
26,10246.00,2021,05
27,10411.50,2021,05
28,9807.50,2021,04
29,9539.00,2021,04
30,9213.50,2021,04
31,8927.50,2021,04
32,8782.00,2021,03
33,8957.50,2021,03
34,9059.00,2021,03
35,9106.00,2021,03
36,8976.50,2021,02
37,9043.50,2021,02
38,8926.50,2021,02
39,8307.00,2021,02
40,7965.50,2021,01
41,7866.00,2021,01
42,7991.50,2021,01
43,7942.50,2021,01
44,8121.00,2021,01
45,7760.00,2020,12
46,7843.50,2020,12
47,8002.50,2020,12
48,7772.50,2020,12
49,7754.50,2020,11
50,7501.00,2020,11
51,7269.00,2020,11
52,6982.50,2020,11
53,6946.00,2020,11
54,6712.00,2020,10
55,6872.50,2020,10
56,6740.00,2020,10
57,6768.50,2020,10
58,6558.50,2020,09
59,6537.00,2020,09
60,6821.00,2020,09
61,6744.50,2020,09
62,6707.50,2020,08
63,6660.00,2020,08
64,6488.50,2020,08
65,6371.50,2020,08
66,6267.00,2020,08
67,6411.50,2020,07
68,6412.00,2020,07
69,6455.50,2020,07
70,6416.50,2020,07
71,6022.50,2020,06
72,5952.50,2020,06
73,5836.50,2020,06
74,5784.50,2020,06
75,5690.00,2020,05
76,5376.50,2020,05
77,5287.00,2020,05
78,5186.50,2020,05
79,5278.00,2020,05
80,5108.00,2020,04
81,5186.00,2020,04
82,5207.00,2020,04
83,5021.00,2020,04
84,4841.00,2020,03
85,4811.00,2020,03
86,4697.00,2020,03
87,5453.00,2020,03
88,5629.00,2020,03
89,5604.00,2020,02
90,5761.00,2020,02
91,5754.00,2020,02
92,5654.00,2020,02
93,5557.00,2020,01
94,5922.00,2020,01
95,6267.00,2020,01
96,6196.00,2020,01
97,6135.00,2019,12
98,6223.00,2019,12
99,6171.00,2019,12
100,6140.00,2019,12
101,6024.00,2019,12
102,5877.00,2019,11
103,5852.00,2019,11
104,5841.00,2019,11
105,5921.00,2019,11
106,5862.00,2019,10
107,5905.00,2019,10
108,5818.00,2019,10
109,5804.00,2019,10
110,5671.00,2019,09
111,5760.00,2019,09
112,5754.00,2019,09
113,5965.00,2019,09
114,5828.00,2019,09
115,5651.00,2019,08
116,5631.00,2019,08
117,5752.00,2019,08
118,5766.00,2019,08
119,5718.00,2019,07
120,5962.00,2019,07
121,6072.00,2019,07
122,5957.00,2019,07
123,5895.00,2019,06
124,5998.00,2019,06
125,5959.00,2019,06
126,5806.00,2019,06
127,5791.00,2019,06
128,5821.00,2019,05
129,5963.00,2019,05
130,6054.00,2019,05
131,6146.00,2019,05
132,6240.00,2019,04
133,6400.00,2019,04
134,6461.00,2019,04
135,6502.00,2019,04
136,6395.00,2019,03
137,6474.00,2019,03
138,6323.00,2019,03
139,6427.00,2019,03
140,6395.00,2019,03
141,6441.00,2019,02
142,6474.00,2019,02
143,6222.00,2019,02
144,6198.00,2019,02
145,6139.00,2019,01
146,6075.00,2019,01
147,6056.00,2019,01
148,5955.00,2019,01
149,5932.00,2018,12
150,5990.00,2018,12
151,5973.00,2018,12
152,6139.00,2018,12
