,close,year,month
0,72.364,2021,11
1,71.295,2021,10
2,70.889,2021,10
3,70.295,2021,10
4,71.069,2021,10
5,71.881,2021,10
6,72.753,2021,09
7,72.729,2021,09
8,72.837,2021,09
9,73.185,2021,09
10,72.714,2021,08
11,73.572,2021,08
12,74.284,2021,08
13,73.200,2021,08
14,73.434,2021,08
15,73.144,2021,07
16,73.741,2021,07
17,74.060,2021,07
18,74.293,2021,07
19,73.251,2021,06
20,72.208,2021,06
21,72.799,2021,06
22,72.169,2021,06
23,72.805,2021,05
24,73.224,2021,05
25,73.584,2021,05
26,73.955,2021,05
27,73.745,2021,05
28,75.208,2021,04
29,74.963,2021,04
30,75.742,2021,04
31,77.368,2021,04
32,76.490,2021,03
33,75.749,2021,03
34,74.166,2021,03
35,73.336,2021,03
36,74.262,2021,02
37,74.712,2021,02
38,74.087,2021,02
39,73.721,2021,02
40,74.684,2021,01
41,75.672,2021,01
42,75.245,2021,01
43,73.587,2021,01
44,74.263,2021,01
45,74.027,2020,12
46,74.164,2020,12
47,73.518,2020,12
48,73.039,2020,12
49,73.988,2020,11
50,75.967,2020,11
51,76.225,2020,11
52,77.436,2020,11
53,77.434,2020,11
54,79.441,2020,10
55,76.218,2020,10
56,77.910,2020,10
57,76.772,2020,10
58,78.198,2020,09
59,78.136,2020,09
60,75.653,2020,09
61,74.908,2020,09
62,75.365,2020,08
63,74.096,2020,08
64,74.796,2020,08
65,72.841,2020,08
66,73.673,2020,08
67,74.459,2020,07
68,71.672,2020,07
69,71.881,2020,07
70,70.856,2020,07
71,71.378,2020,06
72,69.778,2020,06
73,69.469,2020,06
74,69.753,2020,06
75,68.654,2020,05
76,70.752,2020,05
77,71.728,2020,05
78,73.629,2020,05
79,73.503,2020,05
80,75.354,2020,04
81,74.582,2020,04
82,73.965,2020,04
83,73.793,2020,04
84,76.576,2020,03
85,78.846,2020,03
86,80.011,2020,03
87,72.232,2020,03
88,68.548,2020,03
89,66.892,2020,02
90,63.970,2020,02
91,63.512,2020,02
92,64.047,2020,02
93,63.994,2020,01
94,62.156,2020,01
95,61.589,2020,01
96,61.020,2020,01
97,62.063,2019,12
98,62.157,2019,12
99,62.281,2019,12
100,62.841,2019,12
101,63.664,2019,12
102,64.339,2019,11
103,63.861,2019,11
104,63.752,2019,11
105,63.800,2019,11
106,63.496,2019,10
107,63.874,2019,10
108,63.660,2019,10
109,64.188,2019,10
110,64.665,2019,09
111,64.666,2019,09
112,63.982,2019,09
113,64.375,2019,09
114,65.771,2019,09
115,66.714,2019,08
116,66.045,2019,08
117,66.507,2019,08
118,65.255,2019,08
119,65.237,2019,07
120,63.353,2019,07
121,63.022,2019,07
122,62.971,2019,07
123,63.805,2019,06
124,63.217,2019,06
125,63.041,2019,06
126,64.396,2019,06
127,64.784,2019,06
128,65.440,2019,05
129,64.462,2019,05
130,64.670,2019,05
131,65.220,2019,05
132,65.081,2019,04
133,64.790,2019,04
134,64.011,2019,04
135,64.279,2019,04
136,65.297,2019,03
137,65.750,2019,03
138,64.648,2019,03
139,64.796,2019,03
140,66.339,2019,03
141,65.914,2019,02
142,65.378,2019,02
143,66.322,2019,02
144,65.435,2019,02
145,65.472,2019,01
146,66.002,2019,01
147,66.176,2019,01
148,66.888,2019,01
149,67.532,2018,12
150,69.543,2018,12
151,68.946,2018,12
152,66.856,2018,12
153,66.441,2018,12
154,67.085,2018,11
155,66.204,2018,11
156,65.980,2018,11
157,67.950,2018,11
158,66.170,2018,10
159,65.593,2018,10
160,65.455,2018,10
161,66.060,2018,10
162,66.607,2018,09
163,65.550,2018,09
164,66.431,2018,09
165,68.159,2018,09
166,69.896,2018,09
167,67.462,2018,08
168,67.028,2018,08
169,67.112,2018,08
170,67.730,2018,08
171,63.345,2018,07
172,62.708,2018,07
173,63.502,2018,07
174,62.441,2018,07
175,62.989,2018,07
176,62.773,2018,06
177,62.982,2018,06
178,63.138,2018,06
179,62.319,2018,06
180,62.213,2018,05
181,62.214,2018,05
182,62.351,2018,05
183,61.921,2018,05
184,62.452,2018,04
185,62.154,2018,04
186,61.371,2018,04
187,62.110,2018,04
188,58.098,2018,04
189,57.135,2018,03
190,57.296,2018,03
191,57.514,2018,03
192,56.652,2018,03
193,56.802,2018,02
194,56.125,2018,02
195,56.411,2018,02
196,58.366,2018,02
197,56.536,2018,01
198,56.235,2018,01
199,56.663,2018,01
200,56.617,2018,01
201,56.969,2017,12
202,57.634,2017,12
203,58.301,2017,12
204,58.826,2017,12
205,59.122,2017,12
206,58.890,2017,11
207,58.444,2017,11
208,59.021,2017,11
209,59.154,2017,11
210,59.051,2017,10
211,58.093,2017,10
212,57.489,2017,10
213,57.336,2017,10
214,58.141,2017,10
215,57.549,2017,09
216,57.498,2017,09
217,57.528,2017,09
218,57.364,2017,09
219,57.474,2017,08
220,58.591,2017,08
221,58.947,2017,08
222,59.834,2017,08
223,59.964,2017,07
224,59.554,2017,07
225,59.352,2017,07
226,59.008,2017,07
227,60.379,2017,07
228,58.940,2017,06
229,59.447,2017,06
230,57.757,2017,06
231,57.033,2017,06
232,56.630,2017,05
233,56.510,2017,05
234,56.887,2017,05
235,57.081,2017,05
